horizon	split	method	metric	value
14	train	torch_tail	pinball_q0.95	19.83512191
14	train	torch_tail	pinball_q0.99	6.614467536
14	train	torch_tail	tail_count	28473
14	train	torch_tail	tail_mae	442.0011325
14	train	torch_tail	tail_rmse	776.1707826
14	train	torch_tail	tail_r2	0.460446985
14	train	naive_last_conductance	observed_count	533942
14	train	naive_last_conductance	mae	107.4793901
14	train	naive_last_conductance	rmse	296.8817447
14	train	naive_last_conductance	r2	0.899138953
14	train	naive_last_conductance	auc	0.990663056
14	train	naive_last_conductance	f1	0.831453243
14	train	naive_last_conductance	precision	0.829289746
14	train	naive_last_conductance	recall	0.833628058
14	train	naive_last_conductance	interval_coverage	nan
14	train	naive_last_conductance	interval_width	nan
14	train	naive_last_conductance	pinball_q0.1	nan
14	train	naive_last_conductance	pinball_q0.5	nan
14	train	naive_last_conductance	pinball_q0.9	nan
14	train	naive_last_conductance	pinball_q0.95	nan
14	train	naive_last_conductance	pinball_q0.99	nan
14	train	naive_last_conductance	tail_count	27144
14	train	naive_last_conductance	tail_mae	467.7816706
14	train	naive_last_conductance	tail_rmse	843.1126681
14	train	naive_last_conductance	tail_r2	0.326897663
14	valid	torch_tail	observed_count	97056
14	valid	torch_tail	mae	122.8004655
14	valid	torch_tail	rmse	322.2234915
14	valid	torch_tail	r2	0.856101235
14	valid	torch_tail	auc	0.994647599
14	valid	torch_tail	f1	0.797460317
14	valid	torch_tail	precision	0.71040724
14	valid	torch_tail	recall	0.908827786
